,Year,Month,Day,startdate,timeDelt,startweekday,totalRents,timeDelt_sq,holiday,date,station,precip,tmax,tmin,tmax_sq,tmin_sq,startdate2,day_0,day_1,day_2,day_3,day_4,day_5,day_6
0,2015,1,1,2015-01-01,0,3,2578,0,0.0,,USC00186350,0.0,36.0,22.0,1296.0,484.0,2015-01-01,0,0,0,1,0,0,0
1,2015,1,2,2015-01-02,1,4,5108,1,0.0,,USC00186350,0.0,44.0,27.0,1936.0,729.0,2015-01-02,0,0,0,0,1,0,0
2,2015,1,3,2015-01-03,2,5,1703,4,0.0,,USC00186350,0.07,47.0,29.0,2209.0,841.0,2015-01-03,0,0,0,0,0,1,0
3,2015,1,4,2015-01-04,3,6,3658,9,0.0,,USC00186350,0.52,56.0,31.0,3136.0,961.0,2015-01-04,0,0,0,0,0,0,1
4,2015,1,5,2015-01-05,4,0,5222,16,0.0,,USC00186350,0.08,66.0,40.0,4356.0,1600.0,2015-01-05,1,0,0,0,0,0,0
5,2015,1,6,2015-01-06,5,1,2060,25,0.0,,USC00186350,0.16,41.0,21.0,1681.0,441.0,2015-01-06,0,1,0,0,0,0,0
6,2015,1,7,2015-01-07,6,2,3035,36,0.0,,USC00186350,0.08,30.0,20.0,900.0,400.0,2015-01-07,0,0,1,0,0,0,0
7,2015,1,8,2015-01-08,7,3,2952,49,0.0,,USC00186350,0.0,26.0,10.0,676.0,100.0,2015-01-08,0,0,0,1,0,0,0
8,2015,1,9,2015-01-09,8,4,4214,64,0.0,,USC00186350,0.0,30.0,11.0,900.0,121.0,2015-01-09,0,0,0,0,1,0,0
9,2015,1,10,2015-01-10,9,5,2673,81,0.0,,USC00186350,0.0,38.0,16.0,1444.0,256.0,2015-01-10,0,0,0,0,0,1,0
10,2015,1,11,2015-01-11,10,6,3451,100,0.0,,USC00186350,0.0,27.0,13.0,729.0,169.0,2015-01-11,0,0,0,0,0,0,1
11,2015,1,12,2015-01-12,11,0,2155,121,0.0,,USC00186350,0.3,41.0,17.0,1681.0,289.0,2015-01-12,1,0,0,0,0,0,0
12,2015,1,13,2015-01-13,12,1,5473,144,0.0,,USC00186350,0.53,45.0,33.0,2025.0,1089.0,2015-01-13,0,1,0,0,0,0,0
13,2015,1,14,2015-01-14,13,2,4555,169,0.0,,USC00186350,0.1,34.0,24.0,1156.0,576.0,2015-01-14,0,0,1,0,0,0,0
14,2015,1,15,2015-01-15,14,3,5774,196,0.0,,USC00186350,0.0,31.0,25.0,961.0,625.0,2015-01-15,0,0,0,1,0,0,0
15,2015,1,16,2015-01-16,15,4,5683,225,0.0,,USC00186350,0.0,39.0,25.0,1521.0,625.0,2015-01-16,0,0,0,0,1,0,0
16,2015,1,17,2015-01-17,16,5,4217,256,0.0,,USC00186350,0.0,44.0,24.0,1936.0,576.0,2015-01-17,0,0,0,0,0,1,0
17,2015,1,18,2015-01-18,17,6,2523,289,0.0,,USC00186350,0.42,40.0,24.0,1600.0,576.0,2015-01-18,0,0,0,0,0,0,1
18,2015,1,19,2015-01-19,18,0,4634,324,0.0,,USC00186350,0.21,49.0,34.0,2401.0,1156.0,2015-01-19,1,0,0,0,0,0,0
19,2015,1,20,2015-01-20,19,1,6263,361,0.0,,USC00186350,0.0,47.0,26.0,2209.0,676.0,2015-01-20,0,1,0,0,0,0,0
20,2015,1,21,2015-01-21,20,2,5350,400,0.0,,USC00186350,0.0,48.0,29.0,2304.0,841.0,2015-01-21,0,0,1,0,0,0,0
21,2015,1,22,2015-01-22,21,3,6369,441,0.0,,USC00186350,0.11,48.0,30.0,2304.0,900.0,2015-01-22,0,0,0,1,0,0,0
22,2015,1,23,2015-01-23,22,4,4733,484,0.0,,USC00186350,0.0,46.0,25.0,2116.0,625.0,2015-01-23,0,0,0,0,1,0,0
23,2015,1,24,2015-01-24,23,5,3472,529,0.0,,USC00186350,0.12,44.0,36.0,1936.0,1296.0,2015-01-24,0,0,0,0,0,1,0
24,2015,1,25,2015-01-25,24,6,5159,576,0.0,,USC00186350,0.0,44.0,36.0,1936.0,1296.0,2015-01-25,0,0,0,0,0,0,1
25,2015,1,26,2015-01-26,25,0,2429,625,0.0,,USC00186350,0.08,50.0,34.0,2500.0,1156.0,2015-01-26,1,0,0,0,0,0,0
26,2015,1,27,2015-01-27,26,1,4067,676,0.0,,USC00186350,0.23,35.0,27.0,1225.0,729.0,2015-01-27,0,1,0,0,0,0,0
27,2015,1,28,2015-01-28,27,2,5094,729,0.0,,USC00186350,0.0,36.0,22.0,1296.0,484.0,2015-01-28,0,0,1,0,0,0,0
28,2015,1,29,2015-01-29,28,3,4628,784,0.0,,USC00186350,0.0,37.0,19.0,1369.0,361.0,2015-01-29,0,0,0,1,0,0,0
