,Year,Month,Day,startdate,timeDelt,startweekday,totalRents,timeDelt_sq,holiday,date,station,precip,tmax,tmin,tmax_sq,tmin_sq,startdate2,day_0,day_1,day_2,day_3,day_4,day_5,day_6
0,2017,1,1,2017-01-01,0,6,4063,0,0.0,,USC00186350,0.0,47.0,31.0,2209.0,961.0,2017-01-01,0,0,0,0,0,0,1
1,2017,1,2,2017-01-02,1,0,1638,1,0.0,,USC00186350,0.03,55.0,38.0,3025.0,1444.0,2017-01-02,1,0,0,0,0,0,0
2,2017,1,3,2017-01-03,2,1,3771,4,0.0,,USC00186350,0.3,46.0,42.0,2116.0,1764.0,2017-01-03,0,1,0,0,0,0,0
3,2017,1,4,2017-01-04,3,2,7185,9,0.0,,USC00186350,0.69,50.0,44.0,2500.0,1936.0,2017-01-04,0,0,1,0,0,0,0
4,2017,1,5,2017-01-05,4,3,6214,16,0.0,,USC00186350,0.0,55.0,29.0,3025.0,841.0,2017-01-05,0,0,0,1,0,0,0
5,2017,1,6,2017-01-06,5,4,5570,25,0.0,,USC00186350,0.0,36.0,30.0,1296.0,900.0,2017-01-06,0,0,0,0,1,0,0
6,2017,1,7,2017-01-07,6,5,1809,36,0.0,,USC00186350,0.0,34.0,23.0,1156.0,529.0,2017-01-07,0,0,0,0,0,1,0
7,2017,1,8,2017-01-08,7,6,1920,49,0.0,,USC00186350,0.25,25.0,15.0,625.0,225.0,2017-01-08,0,0,0,0,0,0,1
8,2017,1,9,2017-01-09,8,0,4617,64,0.0,,USC00186350,0.0,24.0,15.0,576.0,225.0,2017-01-09,1,0,0,0,0,0,0
9,2017,1,10,2017-01-10,9,1,5606,81,0.0,,USC00186350,0.0,26.0,17.0,676.0,289.0,2017-01-10,0,1,0,0,0,0,0
10,2017,1,11,2017-01-11,10,2,7267,100,0.0,,USC00186350,0.02,42.0,21.0,1764.0,441.0,2017-01-11,0,0,1,0,0,0,0
11,2017,1,12,2017-01-12,11,3,9091,121,0.0,,USC00186350,0.04,57.0,35.0,3249.0,1225.0,2017-01-12,0,0,0,1,0,0,0
12,2017,1,13,2017-01-13,12,4,8031,144,0.0,,USC00186350,0.0,71.0,52.0,5041.0,2704.0,2017-01-13,0,0,0,0,1,0,0
13,2017,1,14,2017-01-14,13,5,1864,169,0.0,,USC00186350,0.01,54.0,35.0,2916.0,1225.0,2017-01-14,0,0,0,0,0,1,0
14,2017,1,15,2017-01-15,14,6,5348,196,0.0,,USC00186350,0.29,54.0,33.0,2916.0,1089.0,2017-01-15,0,0,0,0,0,0,1
15,2017,1,16,2017-01-16,15,0,4485,225,0.0,,USC00186350,0.0,47.0,36.0,2209.0,1296.0,2017-01-16,1,0,0,0,0,0,0
16,2017,1,17,2017-01-17,16,1,5574,256,0.0,,USC00186350,0.06,46.0,37.0,2116.0,1369.0,2017-01-17,0,1,0,0,0,0,0
17,2017,1,18,2017-01-18,17,2,7345,289,0.0,,USC00186350,0.22,54.0,41.0,2916.0,1681.0,2017-01-18,0,0,1,0,0,0,0
18,2017,1,19,2017-01-19,18,3,7376,324,0.0,,USC00186350,0.0,58.0,42.0,3364.0,1764.0,2017-01-19,0,0,0,1,0,0,0
19,2017,1,20,2017-01-20,19,4,5566,361,0.0,,USC00186350,0.0,52.0,35.0,2704.0,1225.0,2017-01-20,0,0,0,0,1,0,0
20,2017,1,21,2017-01-21,20,5,8157,400,0.0,,USC00186350,0.0,49.0,40.0,2401.0,1600.0,2017-01-21,0,0,0,0,0,1,0
21,2017,1,22,2017-01-22,21,6,4066,441,0.0,,USC00186350,0.02,50.0,47.0,2500.0,2209.0,2017-01-22,0,0,0,0,0,0,1
22,2017,1,23,2017-01-23,22,0,2905,484,0.0,,USC00186350,0.19,53.0,48.0,2809.0,2304.0,2017-01-23,1,0,0,0,0,0,0
23,2017,1,24,2017-01-24,23,1,7389,529,0.0,,USC00186350,0.85,49.0,40.0,2401.0,1600.0,2017-01-24,0,1,0,0,0,0,0
24,2017,1,25,2017-01-25,24,2,9023,576,0.0,,USC00186350,0.0,49.0,39.0,2401.0,1521.0,2017-01-25,0,0,1,0,0,0,0
25,2017,1,26,2017-01-26,25,3,8048,625,0.0,,USC00186350,0.0,61.0,41.0,3721.0,1681.0,2017-01-26,0,0,0,1,0,0,0
26,2017,1,27,2017-01-27,26,4,6887,676,0.0,,USC00186350,0.0,59.0,39.0,3481.0,1521.0,2017-01-27,0,0,0,0,1,0,0
27,2017,1,28,2017-01-28,27,5,5555,729,0.0,,USC00186350,0.0,44.0,34.0,1936.0,1156.0,2017-01-28,0,0,0,0,0,1,0
28,2017,1,29,2017-01-29,28,6,5250,784,0.0,,USC00186350,0.0,48.0,31.0,2304.0,961.0,2017-01-29,0,0,0,0,0,0,1
29,2017,1,30,2017-01-30,29,0,5420,841,0.0,,USC00186350,0.04,46.0,31.0,2116.0,961.0,2017-01-30,1,0,0,0,0,0,0
30,2017,1,31,2017-01-31,30,1,7764,900,0.0,,USC00186350,0.0,46.0,25.0,2116.0,625.0,2017-01-31,0,1,0,0,0,0,0
31,2017,2,1,2017-02-01,31,2,8231,961,0.0,,USC00186350,0.0,56.0,31.0,3136.0,961.0,2017-02-01,0,0,1,0,0,0,0
32,2017,2,2,2017-02-02,32,3,7649,1024,0.0,,USC00186350,0.0,50.0,34.0,2500.0,1156.0,2017-02-02,0,0,0,1,0,0,0
33,2017,2,3,2017-02-03,33,4,6543,1089,0.0,,USC00186350,0.0,49.0,32.0,2401.0,1024.0,2017-02-03,0,0,0,0,1,0,0
34,2017,2,4,2017-02-04,34,5,4807,1156,0.0,,USC00186350,0.0,38.0,22.0,1444.0,484.0,2017-02-04,0,0,0,0,0,1,0
35,2017,2,5,2017-02-05,35,6,5489,1225,0.0,,USC00186350,0.0,41.0,27.0,1681.0,729.0,2017-02-05,0,0,0,0,0,0,1
36,2017,2,6,2017-02-06,36,0,8399,1296,0.0,,USC00186350,0.0,53.0,31.0,2809.0,961.0,2017-02-06,1,0,0,0,0,0,0
