"STATION","DATE","PRCP","TMAX","TMIN"
"USC00186350","2015-01-01","0.00","36","22"
"USC00186350","2015-01-02","0.00","44","27"
"USC00186350","2015-01-03","0.07","47","29"
"USC00186350","2015-01-04","0.52","56","31"
"USC00186350","2015-01-05","0.08","66","40"
"USC00186350","2015-01-06","0.16","41","21"
"USC00186350","2015-01-07","0.08","30","20"
"USC00186350","2015-01-08","0.00","26","10"
"USC00186350","2015-01-09","0.00","30","11"
"USC00186350","2015-01-10","0.00","38","16"
"USC00186350","2015-01-11","0.00","27","13"
"USC00186350","2015-01-12","0.30","41","17"
"USC00186350","2015-01-13","0.53","45","33"
"USC00186350","2015-01-14","0.10","34","24"
"USC00186350","2015-01-15","0.00","31","25"
"USC00186350","2015-01-16","0.00","39","25"
"USC00186350","2015-01-17","0.00","44","24"
"USC00186350","2015-01-18","0.42","40","24"
"USC00186350","2015-01-19","0.21","49","34"
"USC00186350","2015-01-20","0.00","47","26"
"USC00186350","2015-01-21","0.00","48","29"
"USC00186350","2015-01-22","0.11","48","30"
"USC00186350","2015-01-23","0.00","46","25"
"USC00186350","2015-01-24","0.12","44","36"
"USC00186350","2015-01-25","0.00","44","36"
"USC00186350","2015-01-26","0.08","50","34"
"USC00186350","2015-01-27","0.23","35","27"
"USC00186350","2015-01-28","0.00","36","22"
"USC00186350","2015-01-29","0.00","37","19"
"USC00186350","2015-01-30","0.06","40","24"
"USC00186350","2015-01-31","0.00","41","18"
"USC00186350","2015-02-01","0.00","34","20"
"USC00186350","2015-02-02","0.11","42","30"
"USC00186350","2015-02-03","0.00","51","22"
"USC00186350","2015-02-04","0.00","37","24"
"USC00186350","2015-02-05","0.00","55","32"
"USC00186350","2015-02-06","0.00","37","13"
"USC00186350","2015-02-07","0.00","36","18"
"USC00186350","2015-02-08","0.00","48","28"
"USC00186350","2015-02-09","0.00","67","35"
"USC00186350","2015-02-10","0.17","39","30"
"USC00186350","2015-02-11","0.00","39","27"
"USC00186350","2015-02-12","0.00","45","30"
"USC00186350","2015-02-13","0.00","42","13"
"USC00186350","2015-02-14","0.00","29","17"
"USC00186350","2015-02-15","0.04","42","8"
"USC00186350","2015-02-16","0.00","21","7"
"USC00186350","2015-02-18","0.45",,
"USC00186350","2015-02-19","0.00","34","12"
"USC00186350","2015-02-20","0.00","19","4"
"USC00186350","2015-02-21","0.00","23","6"
"USC00186350","2015-02-22","0.85","38","18"
"USC00186350","2015-02-23","0.00","51","33"
"USC00186350","2015-02-24","0.00","35","8"
"USC00186350","2015-02-25","0.00","30","14"
