"STATION","DATE","PRCP","TMAX","TMIN"
"USC00186350","2017-01-01","0.00","47","31"
"USC00186350","2017-01-02","0.03","55","38"
"USC00186350","2017-01-03","0.30","46","42"
"USC00186350","2017-01-04","0.69","50","44"
"USC00186350","2017-01-05","0.00","55","29"
"USC00186350","2017-01-06","0.00","36","30"
"USC00186350","2017-01-07","0.00","34","23"
"USC00186350","2017-01-08","0.25","25","15"
"USC00186350","2017-01-09","0.00","24","15"
"USC00186350","2017-01-10","0.00","26","17"
"USC00186350","2017-01-11","0.02","42","21"
"USC00186350","2017-01-12","0.04","57","35"
"USC00186350","2017-01-13","0.00","71","52"
"USC00186350","2017-01-14","0.01","54","35"
"USC00186350","2017-01-15","0.29","54","33"
"USC00186350","2017-01-16","0.00","47","36"
"USC00186350","2017-01-17","0.06","46","37"
"USC00186350","2017-01-18","0.22","54","41"
"USC00186350","2017-01-19","0.00","58","42"
"USC00186350","2017-01-20","0.00","52","35"
"USC00186350","2017-01-21","0.00","49","40"
"USC00186350","2017-01-22","0.02","50","47"
"USC00186350","2017-01-23","0.19","53","48"
"USC00186350","2017-01-24","0.85","49","40"
"USC00186350","2017-01-25","0.00","49","39"
"USC00186350","2017-01-26","0.00","61","41"
"USC00186350","2017-01-27","0.00","59","39"
"USC00186350","2017-01-28","0.00","44","34"
"USC00186350","2017-01-29","0.00","48","31"
"USC00186350","2017-01-30","0.04","46","31"
"USC00186350","2017-01-31","0.00","46","25"
"USC00186350","2017-02-01","0.00","56","31"
"USC00186350","2017-02-02","0.00","50","34"
"USC00186350","2017-02-03","0.00","49","32"
"USC00186350","2017-02-04","0.00","38","22"
"USC00186350","2017-02-05","0.00","41","27"
"USC00186350","2017-02-06","0.00","53","31"
"USC00186350","2017-02-07","0.00","62","31"
"USC00186350","2017-02-08","0.00","73","52"
"USC00186350","2017-02-09","0.14","73","36"
"USC00186350","2017-02-10","0.00","38","23"
"USC00186350","2017-02-11","0.00","42","24"
"USC00186350","2017-02-13","0.03","54","36"
"USC00186350","2017-02-14","0.00","46","26"
"USC00186350","2017-02-15","0.00","48","33"
"USC00186350","2017-02-16","0.00","54","33"
"USC00186350","2017-02-17","0.00","42","25"
"USC00186350","2017-02-18","0.00","53","26"
"USC00186350","2017-02-19","0.00","70","41"
"USC00186350","2017-02-20","0.00","71","46"
"USC00186350","2017-02-21","0.00","69","40"
"USC00186350","2017-02-22","0.00","59","39"
"USC00186350","2017-02-23","0.00","64","46"
"USC00186350","2017-02-24","0.00","76","51"
"USC00186350","2017-02-25","0.00","76","52"
"USC00186350","2017-02-26","0.22","76","34"
"USC00186350","2017-02-27","0.00","49","29"
"USC00186350","2017-02-28","0.00","55","30"
"USC00186350","2017-03-01","0.40","69","42"
"USC00186350","2017-03-02","0.07","78","47"
"USC00186350","2017-03-03","0.00","51","33"
"USC00186350","2017-03-04","0.00","43","25"
"USC00186350","2017-03-05","0.00","44","21"
"USC00186350","2017-03-06","0.00","42","23"
"USC00186350","2017-03-07","0.00","55","31"
"USC00186350","2017-03-08","0.12","70","49"
"USC00186350","2017-03-09","0.00","68","45"
"USC00186350","2017-03-10","0.00","73","46"
"USC00186350","2017-03-11","0.08","46","26"
"USC00186350","2017-03-12","0.00","40","26"
"USC00186350","2017-03-13","0.00","43","24"
"USC00186350","2017-03-14","1.54","44","25"
"USC00186350","2017-03-15","0.00","38","22"
"USC00186350","2017-03-16","0.00","32","22"
"USC00186350","2017-03-17","0.00","43","27"
"USC00186350","2017-03-18","0.00","51","27"
"USC00186350","2017-03-19","0.56","59","37"
"USC00186350","2017-03-20","0.00","54","35"
"USC00186350","2017-03-21","0.02","53","35"
"USC00186350","2017-03-22","0.00","64","42"
"USC00186350","2017-03-23","0.00","50","25"
"USC00186350","2017-03-24","0.00","49","30"
"USC00186350","2017-03-25","0.06","62","37"
"USC00186350","2017-03-26","0.00","80","48"
"USC00186350","2017-03-27","0.03",,
"USC00186350","2017-03-28","0.02","77","47"
"USC00186350","2017-03-29","0.12","73","55"
"USC00186350","2017-03-30","0.00","67","45"
"USC00186350","2017-03-31","0.04","55","43"
"USC00186350","2017-04-01","0.98","57","43"
"USC00186350","2017-04-02","0.00","61","42"
"USC00186350","2017-04-03","0.00","67","45"
"USC00186350","2017-04-04","0.11","69","50"
"USC00186350","2017-04-05","0.00","81","54"
"USC00186350","2017-04-06","0.00","75","54"
"USC00186350","2017-04-07","1.73","66","44"
"USC00186350","2017-04-08","0.00","49","39"
"USC00186350","2017-04-09","0.00","66","38"
"USC00186350","2017-04-10","0.00","73","44"
"USC00186350","2017-04-11","0.00","83","45"
"USC00186350","2017-04-12","0.00","87","60"
"USC00186350","2017-04-13","0.00","80","50"
"USC00186350","2017-04-14","0.00","72","50"
"USC00186350","2017-04-15","0.00","73","52"
"USC00186350","2017-04-16","0.00","78","56"
"USC00186350","2017-04-17","0.00","85","66"
"USC00186350","2017-04-18","0.12","72","50"
"USC00186350","2017-04-19","0.00","73","50"
"USC00186350","2017-04-20","0.00","62","52"
"USC00186350","2017-04-21","0.10","84","58"
"USC00186350","2017-04-22","0.19","83","60"
"USC00186350","2017-04-23","0.23","60","47"
"USC00186350","2017-04-24","0.00","62","48"
"USC00186350","2017-04-25","0.24","57","51"
"USC00186350","2017-04-26","0.11","60","55"
"USC00186350","2017-04-27","0.00","71","55"
"USC00186350","2017-04-28","0.01","84","58"
"USC00186350","2017-04-29","0.00","86","64"
"USC00186350","2017-04-30","0.00","93","70"
"USC00186350","2017-05-01","0.00","86","61"
"USC00186350","2017-05-02","0.00","84","63"
"USC00186350","2017-05-03","0.00","78","59"
"USC00186350","2017-05-04","0.00","66","48"
"USC00186350","2017-05-05","0.64","67","51"
"USC00186350","2017-05-06","1.87","81","57"
"USC00186350","2017-05-07","0.10","58","47"
"USC00186350","2017-05-08","0.00","64","44"
"USC00186350","2017-05-09","0.00","64","40"
"USC00186350","2017-05-10","0.00","68","40"
"USC00186350","2017-05-11","0.00","76","45"
"USC00186350","2017-05-12","1.00","58","53"
"USC00186350","2017-05-13","0.97","59","50"
"USC00186350","2017-05-14","0.02","60","46"
"USC00186350","2017-05-15","0.00","77","53"
"USC00186350","2017-05-16","0.00","77","50"
"USC00186350","2017-05-17","0.00","82","50"
"USC00186350","2017-05-18","0.00","94","60"
"USC00186350","2017-05-19","0.00","93","68"
"USC00186350","2017-05-20","0.20","93","68"
"USC00186350","2017-05-21","0.00","72","58"
"USC00186350","2017-05-22","0.14","69","58"
"USC00186350","2017-05-23","0.15","73","59"
"USC00186350","2017-05-24","0.20","67","59"
"USC00186350","2017-05-25","0.65","66","58"
"USC00186350","2017-05-26","0.43","76","62"
"USC00186350","2017-05-27","0.00","77","59"
"USC00186350","2017-05-28","0.01","74","60"
"USC00186350","2017-05-29","0.40","75","67"
"USC00186350","2017-05-30","0.00","84","61"
"USC00186350","2017-05-31","0.11","73","62"
"USC00186350","2017-06-01","0.06","83","61"
"USC00186350","2017-06-02","0.00","84","57"
"USC00186350","2017-06-03","0.00","83","57"
"USC00186350","2017-06-04","0.00","86","59"
"USC00186350","2017-06-05","0.00","89","71"
"USC00186350","2017-06-06","0.03","75","66"
"USC00186350","2017-06-07","0.00","78","61"
"USC00186350","2017-06-08","0.00","68","51"
"USC00186350","2017-06-09","0.00","75","52"
"USC00186350","2017-06-10","0.00","83","57"
"USC00186350","2017-06-11","0.00","90","69"
"USC00186350","2017-06-12","0.00","93","71"
"USC00186350","2017-06-13","0.00","94","73"
"USC00186350","2017-06-14","0.00","96","76"
"USC00186350","2017-06-15","0.00","91","69"
"USC00186350","2017-06-16","0.00","87","69"
"USC00186350","2017-06-17","0.39","82","72"
"USC00186350","2017-06-18","0.00","87","76"
"USC00186350","2017-06-19","0.00","92","79"
"USC00186350","2017-06-20","0.58","89","71"
"USC00186350","2017-06-21","0.00","89","71"
"USC00186350","2017-06-22","0.00","90","71"
"USC00186350","2017-06-23","0.15","88","72"
